STUDY_ID	SAMPLE_ID	FAT1	EGFR
cesc_tcga_pan_can_atlas_2018	TCGA-2W-A8YY-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-4J-AA1J-01	-2	0
cesc_tcga_pan_can_atlas_2018	TCGA-BI-A0VR-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-BI-A0VS-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-BI-A20A-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A0TN-01	-1	1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BE-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BF-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BI-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BJ-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BK-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BL-01	0	1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BM-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BN-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M5-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M6-01	-1	-1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M7-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M8-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M9-01	1	-1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1ME-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MF-01	0	-1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MH-01	0	-1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MI-01	-1	-1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MJ-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MK-01	0	1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1ML-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MN-01	-1	1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MP-01	1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LS-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LT-01	-2	1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LV-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LX-01	-1	-1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LY-01	0	1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2M1-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2M2-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A3HF-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CG-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CH-01	0	1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CJ-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CK-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CL-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CM-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CO-01	-1	1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UC-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UE-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UH-01	-1	1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UI-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7X3-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7X5-01	-1	-1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7X8-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7XC-01	1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8XH-01	-2	1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8XI-01	1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8XJ-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8XK-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8YQ-01	1	1
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8YR-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8YT-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8ZZ-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A907-01	-2	0
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KH-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KJ-01	-2	1
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KK-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KL-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KM-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-DR-A0ZL-01	-1	2
cesc_tcga_pan_can_atlas_2018	TCGA-DR-A0ZM-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A0VK-01	0	2
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A0VL-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A0VM-01	1	0
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A0VN-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A3LQ-01	0	1
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A5RQ-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A7WF-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A7WH-01	0	-1
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A7WI-01	0	2
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A1QS-01	-1	-1
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A1QT-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3HQ-01	1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3HR-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3HS-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3HT-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3QD-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3QE-01	1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3Y4-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A410-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A411-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A439-01	-1	-1
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A43B-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5FO-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5O9-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5ZD-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5ZE-01	-2	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5ZF-01	-1	-1
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A6QX-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A78R-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A97N-01	-1	-1
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2GZ-01	-1	1
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2H0-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2H1-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2IP-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2PG-01	-1	1
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2PI-01	1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2PK-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2PL-01	0	0
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2PM-01	-2	0
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2R7-01	-1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2R8-01	1	0
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2R9-01	0	0
