STUDY_ID	SAMPLE_ID	FAT1	EGFR
lusc_tcga_pan_can_atlas_2018	TCGA-18-3406-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-18-3407-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-18-3408-01	0	2
lusc_tcga_pan_can_atlas_2018	TCGA-18-3410-01	1	0
lusc_tcga_pan_can_atlas_2018	TCGA-18-3411-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-18-3412-01	1	1
lusc_tcga_pan_can_atlas_2018	TCGA-18-3414-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-18-3415-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-18-3416-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-18-3417-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-18-3421-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-18-4083-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-18-4721-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-18-5592-01	-1	2
lusc_tcga_pan_can_atlas_2018	TCGA-21-1071-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-21-1075-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-21-1076-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-21-1079-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-21-1080-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-21-1081-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-21-1082-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-21-5782-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-21-5783-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-21-5784-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-21-5786-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-21-5787-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-22-1000-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-1002-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-1005-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-1011-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-1012-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-1016-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-22-4591-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-4593-01	1	2
lusc_tcga_pan_can_atlas_2018	TCGA-22-4594-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-4595-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-4596-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-4599-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-4601-01	1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-22-4604-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-4605-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-4607-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-4609-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-4613-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-5471-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-5472-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-5473-01	-1	2
lusc_tcga_pan_can_atlas_2018	TCGA-22-5474-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-5477-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-5478-01	1	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-5479-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-5480-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-5481-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-5482-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-5483-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-5485-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-5489-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-5491-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-22-5492-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-22-A5C4-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-33-4532-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-33-4533-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-33-4538-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-33-4547-01	-2	0
lusc_tcga_pan_can_atlas_2018	TCGA-33-4566-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-33-4582-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-33-4583-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-33-4586-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-33-4587-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-33-4589-01	-1	2
lusc_tcga_pan_can_atlas_2018	TCGA-33-6738-01	1	1
lusc_tcga_pan_can_atlas_2018	TCGA-33-A4WN-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-33-A5GW-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-33-AAS8-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-33-AASB-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-33-AASD-01	1	1
lusc_tcga_pan_can_atlas_2018	TCGA-33-AASI-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-33-AASJ-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-33-AASL-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-34-2596-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-34-2600-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-34-2604-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-34-2605-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-34-2608-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-34-2609-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-34-5231-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-34-5232-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-34-5234-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-34-5236-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-34-5239-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-34-5240-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-34-5241-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-34-5927-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-34-5928-01	1	1
lusc_tcga_pan_can_atlas_2018	TCGA-34-5929-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-34-7107-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-34-8454-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-34-8455-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-34-8456-01	1	1
lusc_tcga_pan_can_atlas_2018	TCGA-34-A5IX-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-37-3783-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-37-3789-01	-1	2
lusc_tcga_pan_can_atlas_2018	TCGA-37-3792-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-37-4129-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-37-4130-01	-2	1
lusc_tcga_pan_can_atlas_2018	TCGA-37-4132-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-37-4133-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-37-4135-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-37-4141-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-37-5819-01	-2	1
lusc_tcga_pan_can_atlas_2018	TCGA-37-A5EL-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-37-A5EN-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-39-5011-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-39-5016-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-39-5019-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-39-5021-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-39-5022-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-39-5024-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-39-5028-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-39-5029-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-39-5030-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-39-5031-01	1	1
lusc_tcga_pan_can_atlas_2018	TCGA-39-5034-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-39-5035-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-39-5036-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-39-5037-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-39-5039-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-39-5040-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-43-2576-01	-2	1
lusc_tcga_pan_can_atlas_2018	TCGA-43-2578-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-43-2581-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-43-3394-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-43-3920-01	-2	-1
lusc_tcga_pan_can_atlas_2018	TCGA-43-5668-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-43-5670-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-43-6143-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-43-6647-01	-2	1
lusc_tcga_pan_can_atlas_2018	TCGA-43-6770-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-43-6771-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-43-6773-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-43-7656-01	0	0
lusc_tcga_pan_can_atlas_2018	TCGA-43-7657-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-43-7658-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-43-8115-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-43-8116-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-43-8118-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-43-A474-01	-2	0
lusc_tcga_pan_can_atlas_2018	TCGA-43-A475-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-43-A56U-01	-1	0
lusc_tcga_pan_can_atlas_2018	TCGA-43-A56V-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-46-3765-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-46-3767-01	0	1
lusc_tcga_pan_can_atlas_2018	TCGA-46-3768-01	1	1
lusc_tcga_pan_can_atlas_2018	TCGA-46-3769-01	0	2
lusc_tcga_pan_can_atlas_2018	TCGA-46-6025-01	-2	2
lusc_tcga_pan_can_atlas_2018	TCGA-46-6026-01	-1	-1
lusc_tcga_pan_can_atlas_2018	TCGA-51-4079-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-51-4080-01	-1	2
lusc_tcga_pan_can_atlas_2018	TCGA-51-4081-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-52-7622-01	-2	0
lusc_tcga_pan_can_atlas_2018	TCGA-52-7809-01	-1	1
lusc_tcga_pan_can_atlas_2018	TCGA-52-7810-01	-1	1
