STUDY_ID	SAMPLE_ID	FAT1	EGFR
cesc_tcga_pan_can_atlas_2018	TCGA-2W-A8YY-01	2493.56	261.441
cesc_tcga_pan_can_atlas_2018	TCGA-4J-AA1J-01	2825.29	1427.54
cesc_tcga_pan_can_atlas_2018	TCGA-BI-A0VR-01	2726.4	1113.66
cesc_tcga_pan_can_atlas_2018	TCGA-BI-A0VS-01	4992.51	773.394
cesc_tcga_pan_can_atlas_2018	TCGA-BI-A20A-01	1276.74	755.837
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A0TN-01	5734.84	2332.59
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BE-01	4010.06	1123.66
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BF-01	2385.4	2239.2
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BI-01	2865.78	2224.82
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BJ-01	5345.5	1590.27
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BK-01	2687.09	315.801
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BL-01	5022.1	2265.67
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BM-01	5408.81	2861.17
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BN-01	3688.22	3422.18
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M5-01	1695.69	830.326
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M6-01	1175.16	317.007
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M7-01	4875	1092.99
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M8-01	1580.37	655.378
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M9-01	5780.48	1153.85
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1ME-01	644.124	74.8337
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MF-01	1474.43	163.991
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MH-01	4320.52	805.852
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MI-01	2142.08	531.805
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MJ-01	3684.45	504.894
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MK-01	2540.73	1420.76
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1ML-01	6816.82	1733.77
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MN-01	11365.8	3626.54
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MP-01	2139.05	1068.6
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LS-01	2446	129.183
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LT-01	311.089	1571.27
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LV-01	6400.37	1791.92
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LX-01	350.019	309.603
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LY-01	622.735	517.847
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2M1-01	2533.02	180.416
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2M2-01	3900.87	406.586
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A3HF-01	4821.8	615.779
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CG-01	2759.35	542.179
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CH-01	4074.98	2332.14
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CJ-01	7034.78	3120.76
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CK-01	7822.89	4182.18
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CL-01	2963.56	1881.01
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CM-01	353.453	10.7417
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CO-01	3112.91	1057.01
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UC-01	16514.7	2428.29
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UE-01	2391.01	298.392
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UH-01	11840.6	2299.28
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UI-01	598.842	690.101
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7X3-01	4455.11	610.954
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7X5-01	4526.57	1092.69
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7X8-01	1972.33	337.493
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7XC-01	7036.56	1568.36
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8XH-01	2713.71	1609.13
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8XI-01	9546.92	1048.04
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8XJ-01	6117.42	2766.29
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8XK-01	7812.35	1829.84
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8YQ-01	8580	2926.77
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8YR-01	1871.15	553.453
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8YT-01	3463.84	1333.75
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8ZZ-01	3730.71	1154.52
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A907-01	177.284	1417.71
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KH-01	3378.54	262.335
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KJ-01	231.707	56.0976
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KK-01	6695.58	493.483
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KL-01	6090.05	1485.12
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KM-01	1552.23	784.545
cesc_tcga_pan_can_atlas_2018	TCGA-DR-A0ZL-01	2103.12	22615.5
cesc_tcga_pan_can_atlas_2018	TCGA-DR-A0ZM-01	3432.43	445.946
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A0VK-01	2945.61	3393.14
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A0VL-01	6441.95	897.411
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A0VM-01	5832.63	481.572
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A0VN-01	5525.15	2449.39
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A3LQ-01	2371.42	563.071
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A5RQ-01	2047.06	833.522
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A7WF-01	1275.54	380.872
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A7WH-01	8500.97	366.933
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A7WI-01	2833.15	5588.08
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A1QS-01	7210.76	1750.84
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A1QT-01	3513.67	929.737
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3HQ-01	7024.78	2404.81
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3HR-01	4163.86	2844.22
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3HS-01	2951.46	3733.84
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3HT-01	5032.75	1452.09
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3QD-01	304.268	427.52
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3QE-01	10141.9	2145.1
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3Y4-01	884.144	213.523
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A410-01	3474.34	25.6616
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A411-01	973.059	506.567
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A439-01	2320.33	365.826
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A43B-01	2513.29	357.192
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5FO-01	2477.09	1352.44
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5O9-01	1184.04	177.626
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5ZD-01	3808.18	1215.97
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5ZE-01	377.695	718.491
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5ZF-01	2225.55	143.792
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A6QX-01	3444.25	434.956
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A78R-01	537.707	234.44
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A97N-01	4884.5	1706.29
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2GZ-01	9172.19	1576.15
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2H0-01	2602.14	1633.12
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2H1-01	4910.37	751.206
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2IP-01	4930.49	1119.74
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2PG-01	2439.75	1227.17
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2PI-01	6045.32	1440.82
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2PK-01	1918.35	283.262
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2PL-01	9840.27	999.999999999999
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2PM-01	1435.65	924.435
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2R7-01	1645.1	175.183
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2R8-01	3382.11	988.537999999999
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2R9-01	3628.8	475.106
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2RA-01	3328.75	510.934
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2RB-01	1926.57	861.816
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2RC-01	3320.9	1052.33
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2RD-01	NA	NA
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2RE-01	4305.49	3197.12
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2RJ-01	840.643	1047.31
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2RK-01	2316	1293.45
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2RL-01	3243.84	193.851
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2RM-01	296.268	48.0954
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2RN-01	1403.94	564.182
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2RO-01	2986.49	446.951
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A3GJ-01	2435.77	501.46
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A3GK-01	4343.2	578.265
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A3GM-01	4243.64	243.651
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A3GN-01	1759.2	710.022
cesc_tcga_pan_can_atlas_2018	TCGA-EX-A1H5-01	1148.03	374.183
cesc_tcga_pan_can_atlas_2018	TCGA-EX-A1H6-01	3276.81	272.523
cesc_tcga_pan_can_atlas_2018	TCGA-EX-A3L1-01	8118.43	3721.35
cesc_tcga_pan_can_atlas_2018	TCGA-EX-A69L-01	2716.61	755
cesc_tcga_pan_can_atlas_2018	TCGA-EX-A69M-01	6460.56	755.792
cesc_tcga_pan_can_atlas_2018	TCGA-EX-A8YF-01	487.065	457.627
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A23K-01	787.505	7.3983
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A23L-01	4623.01	1212.29
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A2QG-01	73.6955	2073.15
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A3EO-01	463.314	68.6391
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A3HY-01	9364.13999999999	2295.59
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A3HZ-01	2611.37	4.4879
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A3NI-01	414.502	2634.57
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A3TQ-01	6117.89	1340.48
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A3TX-01	3988.59	752.25
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A3WB-01	3214.38	900.985
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A3YQ-01	5022.77	2545.8
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A40J-01	2100.18	303.214
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A5XV-01	4127.09	1104.21
cesc_tcga_pan_can_atlas_2018	TCGA-FU-A770-01	4062.15	446.765
cesc_tcga_pan_can_atlas_2018	TCGA-GH-A9DA-01	3581.78	1381.01
cesc_tcga_pan_can_atlas_2018	TCGA-HG-A2PA-01	10377.1	1214.35
cesc_tcga_pan_can_atlas_2018	TCGA-HG-A9SC-01	NA	NA
cesc_tcga_pan_can_atlas_2018	TCGA-HM-A3JJ-01	6237.5	2464.98
cesc_tcga_pan_can_atlas_2018	TCGA-HM-A3JK-01	2661.02	801.082
cesc_tcga_pan_can_atlas_2018	TCGA-HM-A6W2-01	9006.5	145.427
cesc_tcga_pan_can_atlas_2018	TCGA-IR-A3L7-01	5081.76	1316.22
