STUDY_ID	SAMPLE_ID	FAT1	EGFR
hnsc_tcga_pan_can_atlas_2018	TCGA-4P-AA8J-01	1620.71	722.847
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-4074-01	6415.45	1267.9
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-4076-01	5255.15	17407.3
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-4078-01	6885.67	5169.14
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5149-01	8848.73	6934.28
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5151-01	17789.5	3848.16
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5152-01	3260.82	1056.88
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5153-01	6878.8	6881.59
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5555-01	13323.4	5672.37
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5556-01	16482.4	4660.24
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5557-01	8557.18000000001	4008.37
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5558-01	8757.5	6420.5
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5559-01	10376.1	2509.2
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-6868-01	19590.9	5800.05
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-6869-01	4445.03	1184.3
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-6870-01	8076.53	1825.9
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-6871-01	3542.44	1397.42
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-6872-01	5603.19	9737.64999999999
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-6873-01	3234.69	3701.52
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-7269-01	648.784	2767.81
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A4IF-01	1342.38	2258.17
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A4IG-01	2571.07	1609.74
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A4IH-01	3071.52	2181.87
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A4II-01	4197.15	14893.8
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6D8-01	451.37	170.548
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DA-01	1298.59	1047.77
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DB-01	1416.79	661.079
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DD-01	6387.97	568.196
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DE-01	15265.1	3814.05
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DF-01	NA	NA
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DG-01	6877.66	2410.19
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DI-01	7301.1	4485.18
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DJ-01	4082.69	1262.45
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DL-01	4863.48	1974.24
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A8YP-01	3071.63	1168.87
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-4217-01	12532.3	3334.83
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-4223-01	6226.54	2554.98
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-4224-01	3670.64	1679.79
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-4225-01	4336.71	3961.63
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-4227-01	8290.98	2721.16
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-4228-01	3234.21	2804.23
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-7870-01	1297.4	394.517
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-8596-01	9722.37	3636.76
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-8601-01	2254.92	1245.49
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-A5HU-01	10806.2	33638.8
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-A5HY-01	12455	19257.9
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-A5HZ-01	2348.78	1500.51
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-A6UM-01	2443.55	536.023
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-A6UO-01	7203.16	1316.11
hnsc_tcga_pan_can_atlas_2018	TCGA-C9-A47Z-01	6505.94	6577.74
hnsc_tcga_pan_can_atlas_2018	TCGA-C9-A480-01	3249.16	2423.03
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4723-01	900.038	5927.54
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4725-01	9577.16	3642.49
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4726-01	7169.15	3083.91
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4727-01	10306.9	2950.85
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4728-01	7455.79	2739.31
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4729-01	7053.93	3895.77
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4730-01	6818.6	5086.71
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4731-01	7381.66	12968.9
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4733-01	1542.72	3097.27
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4735-01	11489.3	8848.1
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4736-01	5133.85	2222.38
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4737-01	12204	5605.43
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4738-01	15231.2	47809.7
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4739-01	9507.32	3454.59
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4740-01	6436.49	2802.87
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4741-01	12397.7	3613.91
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4742-01	1460.12	4910.31
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5355-01	1664.51	6657.61
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5356-01	12921.9	6570.27
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5358-01	11490.2	3988.93
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5359-01	11049.3	5426.62
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5360-01	4216.25	5271.04
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5363-01	16829.3	8154.95
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5364-01	18138	4151.5
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5365-01	9756.24	2787.81
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5366-01	11373.2	5163.86
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5367-01	6939.42	3175.67
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5369-01	5957.32	2620.92
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5370-01	6376.59	4484.28
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5373-01	18427.2	4464.55
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-5374-01	4189.31	1226.09
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6010-01	9433.05	4270.99
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6011-01	9531.78	7077.13
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6012-01	1705.72	4800.91
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6013-01	7035.4	3532.28
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6016-01	5225.21	2200.91
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6017-01	8350.64	1797.62
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6018-01	13904.5	11493.1
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6019-01	4583.74	2065.87
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6020-01	24354.8	5079.69
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6021-01	4924.24	2945.88
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6022-01	4900	5922.2
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6023-01	5622.16	1728.53
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6024-01	3011.9	2770.9
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6988-01	11062.9	3183.15
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6989-01	4148.1	1578.23
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6992-01	5520.31	3043.46
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6994-01	12019.7	6428.1
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6995-01	3916.29	4008.66
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6996-01	11281.2	4103.83
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6997-01	7551.1	82763.5
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-6998-01	12650	3603.43
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A497-01	2475.35	1447.72
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A498-01	9005.71	4555.64
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A499-01	16009.3	2627.31
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A49A-01	3716.3	2742.03
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A49B-01	8135.4	1239.65
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A49C-01	1999.77	779.233
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A63T-01	3804.04	919.686
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A63U-01	2450.53	210.595
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A63V-01	9081.31999999999	2942.75
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A63W-01	7226.02	1853.84
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A63Y-01	NA	NA
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A640-01	NA	NA
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A641-01	2886.51	1500.79
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A642-01	5739.29	1205.33
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A6UY-01	1775.08	608.594
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A6V1-01	674.506	154.637
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A6V3-01	7283.14	3170.78
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A6V6-01	3906.75	870.452
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-A6V7-01	848.039	1059.39
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-5323-01	14755.8	3302.99
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-5324-01	13565.6	2563.52
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-5325-01	9313.96	2309.13
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-5326-01	11088.9	9172.75
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-5327-01	7355.04	2066.07
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-5329-01	2036.26	8341.43
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-5330-01	6463.98	5956.29
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-5331-01	8661.20000000001	2989.54
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-5332-01	3444.73	3172.46
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-5333-01	7221.31	670.825
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-5334-01	3913.79	4195.4
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-6218-01	6490.48	2631.82
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-6220-01	11519.3	3818.96
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-6223-01	4537.49	3546.82
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-6224-01	16189.6	2075.31
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-6225-01	124.574	3006.99
hnsc_tcga_pan_can_atlas_2018	TCGA-CQ-6227-01	13097.1	3116.07
