STUDY_ID	SAMPLE_ID	FAT1	EGFR
lusc_tcga_pan_can_atlas_2018	TCGA-18-3406-01	1932.28	1399.99
lusc_tcga_pan_can_atlas_2018	TCGA-18-3407-01	2879.64	2137.93
lusc_tcga_pan_can_atlas_2018	TCGA-18-3408-01	5604.03	9996.13999999999
lusc_tcga_pan_can_atlas_2018	TCGA-18-3410-01	1868.2	1185.98
lusc_tcga_pan_can_atlas_2018	TCGA-18-3411-01	3735.69	1354.51
lusc_tcga_pan_can_atlas_2018	TCGA-18-3412-01	3080.99	999.604999999999
lusc_tcga_pan_can_atlas_2018	TCGA-18-3414-01	3779.58	1487.51
lusc_tcga_pan_can_atlas_2018	TCGA-18-3415-01	3527.75	1341.03
lusc_tcga_pan_can_atlas_2018	TCGA-18-3416-01	4113.4	1269.78
lusc_tcga_pan_can_atlas_2018	TCGA-18-3417-01	1895.28	1446.49
lusc_tcga_pan_can_atlas_2018	TCGA-18-3421-01	2412.13	1104.88
lusc_tcga_pan_can_atlas_2018	TCGA-18-4083-01	2116.91	3927.6
lusc_tcga_pan_can_atlas_2018	TCGA-18-4721-01	7623.12	1920.11
lusc_tcga_pan_can_atlas_2018	TCGA-18-5592-01	5180.9	80121.9000000001
lusc_tcga_pan_can_atlas_2018	TCGA-21-1071-01	5248.37	1345.43
lusc_tcga_pan_can_atlas_2018	TCGA-21-1075-01	3399.29	2114.2
lusc_tcga_pan_can_atlas_2018	TCGA-21-1076-01	2698.46	1347.8
lusc_tcga_pan_can_atlas_2018	TCGA-21-1079-01	8310.72	3922.18
lusc_tcga_pan_can_atlas_2018	TCGA-21-1080-01	3356.51	5096.82
lusc_tcga_pan_can_atlas_2018	TCGA-21-1081-01	5508.89	4018.54
lusc_tcga_pan_can_atlas_2018	TCGA-21-1082-01	1867.88	705.81
lusc_tcga_pan_can_atlas_2018	TCGA-21-5782-01	4255.06	1953.79
lusc_tcga_pan_can_atlas_2018	TCGA-21-5783-01	10260.1	3898.21
lusc_tcga_pan_can_atlas_2018	TCGA-21-5784-01	4692.25	1264.16
lusc_tcga_pan_can_atlas_2018	TCGA-21-5786-01	4148.46	1493.01
lusc_tcga_pan_can_atlas_2018	TCGA-21-5787-01	6038.38	240.132
lusc_tcga_pan_can_atlas_2018	TCGA-22-1000-01	4559.6	1983.74
lusc_tcga_pan_can_atlas_2018	TCGA-22-1002-01	4226.97	4018.82
lusc_tcga_pan_can_atlas_2018	TCGA-22-1005-01	3202.93	468.007
lusc_tcga_pan_can_atlas_2018	TCGA-22-1011-01	4447.93	3922.84
lusc_tcga_pan_can_atlas_2018	TCGA-22-1012-01	1377.3	2151.34
lusc_tcga_pan_can_atlas_2018	TCGA-22-1016-01	4590.4	1569.4
lusc_tcga_pan_can_atlas_2018	TCGA-22-4591-01	1326.79	2452.77
lusc_tcga_pan_can_atlas_2018	TCGA-22-4593-01	22361.7	38212
lusc_tcga_pan_can_atlas_2018	TCGA-22-4594-01	2544.82	243.55
lusc_tcga_pan_can_atlas_2018	TCGA-22-4595-01	3341.5	2888.57
lusc_tcga_pan_can_atlas_2018	TCGA-22-4596-01	2555.66	1490.66
lusc_tcga_pan_can_atlas_2018	TCGA-22-4599-01	4864.56	4445.64
lusc_tcga_pan_can_atlas_2018	TCGA-22-4601-01	3470.68	1088.34
lusc_tcga_pan_can_atlas_2018	TCGA-22-4604-01	3936.81	1593.24
lusc_tcga_pan_can_atlas_2018	TCGA-22-4605-01	3225.47	2058.26
lusc_tcga_pan_can_atlas_2018	TCGA-22-4607-01	2554.6	869.545
lusc_tcga_pan_can_atlas_2018	TCGA-22-4609-01	6096.3	4250.86
lusc_tcga_pan_can_atlas_2018	TCGA-22-4613-01	1244.25	1464.59
lusc_tcga_pan_can_atlas_2018	TCGA-22-5471-01	3367.76	929.824
lusc_tcga_pan_can_atlas_2018	TCGA-22-5472-01	1174.49	2982.96
lusc_tcga_pan_can_atlas_2018	TCGA-22-5473-01	4258.81	5992.6
lusc_tcga_pan_can_atlas_2018	TCGA-22-5474-01	3148.17	887.914
lusc_tcga_pan_can_atlas_2018	TCGA-22-5477-01	12713.3	2052.5
lusc_tcga_pan_can_atlas_2018	TCGA-22-5478-01	11906	2715.42
lusc_tcga_pan_can_atlas_2018	TCGA-22-5479-01	1372.1	1353.44
lusc_tcga_pan_can_atlas_2018	TCGA-22-5480-01	11173.1	2835.15
lusc_tcga_pan_can_atlas_2018	TCGA-22-5481-01	1755.68	23.2681
lusc_tcga_pan_can_atlas_2018	TCGA-22-5482-01	7886.98	3059.3
lusc_tcga_pan_can_atlas_2018	TCGA-22-5483-01	5605.23	109.797
lusc_tcga_pan_can_atlas_2018	TCGA-22-5485-01	3006.99	1619.46
lusc_tcga_pan_can_atlas_2018	TCGA-22-5489-01	3051.48	3045.97
lusc_tcga_pan_can_atlas_2018	TCGA-22-5491-01	1648.11	1582.55
lusc_tcga_pan_can_atlas_2018	TCGA-22-5492-01	4473.81	3427.12
lusc_tcga_pan_can_atlas_2018	TCGA-22-A5C4-01	2971.71	2324.97
lusc_tcga_pan_can_atlas_2018	TCGA-33-4532-01	2720.9	1429.09
lusc_tcga_pan_can_atlas_2018	TCGA-33-4533-01	2962.67	1020.91
lusc_tcga_pan_can_atlas_2018	TCGA-33-4538-01	4055.24	2132.89
lusc_tcga_pan_can_atlas_2018	TCGA-33-4547-01	602.922	1358.34
lusc_tcga_pan_can_atlas_2018	TCGA-33-4566-01	1314.78	1270.24
lusc_tcga_pan_can_atlas_2018	TCGA-33-4582-01	3905.03	3083.66
lusc_tcga_pan_can_atlas_2018	TCGA-33-4583-01	2734.18	770.958
lusc_tcga_pan_can_atlas_2018	TCGA-33-4586-01	6860.8	2316.93
lusc_tcga_pan_can_atlas_2018	TCGA-33-4587-01	2667.56	1268.21
lusc_tcga_pan_can_atlas_2018	TCGA-33-4589-01	1467.19	1799.51
lusc_tcga_pan_can_atlas_2018	TCGA-33-6738-01	2379	1098.33
lusc_tcga_pan_can_atlas_2018	TCGA-33-A4WN-01	1748	2367.98
lusc_tcga_pan_can_atlas_2018	TCGA-33-A5GW-01	7081.44	1963.34
lusc_tcga_pan_can_atlas_2018	TCGA-33-AAS8-01	3591.17	1290.5
lusc_tcga_pan_can_atlas_2018	TCGA-33-AASB-01	11018.8	838.988
lusc_tcga_pan_can_atlas_2018	TCGA-33-AASD-01	15518.8	2921.48
lusc_tcga_pan_can_atlas_2018	TCGA-33-AASI-01	3999.32	1359.4
lusc_tcga_pan_can_atlas_2018	TCGA-33-AASJ-01	2207.79	520.195
lusc_tcga_pan_can_atlas_2018	TCGA-33-AASL-01	2241.36	1256.66
lusc_tcga_pan_can_atlas_2018	TCGA-34-2596-01	5912.33	6290.58
lusc_tcga_pan_can_atlas_2018	TCGA-34-2600-01	2011.44	2582.72
lusc_tcga_pan_can_atlas_2018	TCGA-34-2604-01	NA	NA
lusc_tcga_pan_can_atlas_2018	TCGA-34-2605-01	NA	NA
lusc_tcga_pan_can_atlas_2018	TCGA-34-2608-01	4792.8	2038.68
lusc_tcga_pan_can_atlas_2018	TCGA-34-2609-01	NA	NA
lusc_tcga_pan_can_atlas_2018	TCGA-34-5231-01	4151.37	6950.69
lusc_tcga_pan_can_atlas_2018	TCGA-34-5232-01	2457.34	1664.86
lusc_tcga_pan_can_atlas_2018	TCGA-34-5234-01	1098.16	478.119
lusc_tcga_pan_can_atlas_2018	TCGA-34-5236-01	4628.7	5572.83
lusc_tcga_pan_can_atlas_2018	TCGA-34-5239-01	8620.15	4480.43
lusc_tcga_pan_can_atlas_2018	TCGA-34-5240-01	173.992	1036.68
lusc_tcga_pan_can_atlas_2018	TCGA-34-5241-01	2166.84	1030.79
lusc_tcga_pan_can_atlas_2018	TCGA-34-5927-01	2057.95	2273.41
lusc_tcga_pan_can_atlas_2018	TCGA-34-5928-01	13956.6	4347.78
lusc_tcga_pan_can_atlas_2018	TCGA-34-5929-01	3307.75	1556.24
lusc_tcga_pan_can_atlas_2018	TCGA-34-7107-01	4071.91	3458.54
lusc_tcga_pan_can_atlas_2018	TCGA-34-8454-01	8663.91	3538.37
lusc_tcga_pan_can_atlas_2018	TCGA-34-8455-01	16673.1	4502.35
lusc_tcga_pan_can_atlas_2018	TCGA-34-8456-01	5955.71	2350.98
lusc_tcga_pan_can_atlas_2018	TCGA-34-A5IX-01	6994.93	2568.68
lusc_tcga_pan_can_atlas_2018	TCGA-37-3783-01	1540.32	916.282
lusc_tcga_pan_can_atlas_2018	TCGA-37-3789-01	3402.61	13512.2
lusc_tcga_pan_can_atlas_2018	TCGA-37-3792-01	499.233	1073.23
lusc_tcga_pan_can_atlas_2018	TCGA-37-4129-01	2630.35	171.521
lusc_tcga_pan_can_atlas_2018	TCGA-37-4130-01	1751.66	131.421
lusc_tcga_pan_can_atlas_2018	TCGA-37-4132-01	1416.41	24.0749
lusc_tcga_pan_can_atlas_2018	TCGA-37-4133-01	1222.79	427.431
lusc_tcga_pan_can_atlas_2018	TCGA-37-4135-01	1109.78	89.3884
lusc_tcga_pan_can_atlas_2018	TCGA-37-4141-01	2012.88	23.2111
lusc_tcga_pan_can_atlas_2018	TCGA-37-5819-01	2315.69	22.6843
lusc_tcga_pan_can_atlas_2018	TCGA-37-A5EL-01	4021.34	6797.45
lusc_tcga_pan_can_atlas_2018	TCGA-37-A5EN-01	2749.29	1053.56
lusc_tcga_pan_can_atlas_2018	TCGA-39-5011-01	1061.98	210.493
lusc_tcga_pan_can_atlas_2018	TCGA-39-5016-01	8216.07	2552.5
lusc_tcga_pan_can_atlas_2018	TCGA-39-5019-01	3477.25	1829.21
lusc_tcga_pan_can_atlas_2018	TCGA-39-5021-01	2075.47	407.755
lusc_tcga_pan_can_atlas_2018	TCGA-39-5022-01	2370.25	587.467
lusc_tcga_pan_can_atlas_2018	TCGA-39-5024-01	4617.94	3061.73
lusc_tcga_pan_can_atlas_2018	TCGA-39-5028-01	4258.97	2651.79
lusc_tcga_pan_can_atlas_2018	TCGA-39-5029-01	10537.8	2431.19
lusc_tcga_pan_can_atlas_2018	TCGA-39-5030-01	5790.53	3476.78
lusc_tcga_pan_can_atlas_2018	TCGA-39-5031-01	2803.77	2199.3
lusc_tcga_pan_can_atlas_2018	TCGA-39-5034-01	3213.43	268.585
lusc_tcga_pan_can_atlas_2018	TCGA-39-5035-01	790.191	963.482
lusc_tcga_pan_can_atlas_2018	TCGA-39-5036-01	1876.06	1689.98
lusc_tcga_pan_can_atlas_2018	TCGA-39-5037-01	2251.56	1211.93
lusc_tcga_pan_can_atlas_2018	TCGA-39-5039-01	9769.8	1361.07
lusc_tcga_pan_can_atlas_2018	TCGA-39-5040-01	3902.23	29232.5
lusc_tcga_pan_can_atlas_2018	TCGA-43-2576-01	1091.84	725.051
lusc_tcga_pan_can_atlas_2018	TCGA-43-2578-01	1264.95	150.265
lusc_tcga_pan_can_atlas_2018	TCGA-43-2581-01	5867.89	2848.44
lusc_tcga_pan_can_atlas_2018	TCGA-43-3394-01	997.421	2906.69
lusc_tcga_pan_can_atlas_2018	TCGA-43-3920-01	1364.42	545.309
lusc_tcga_pan_can_atlas_2018	TCGA-43-5668-01	382.145	1030.13
