STUDY_ID	SAMPLE_ID	FAT1	EGFR
cesc_tcga_pan_can_atlas_2018	TCGA-2W-A8YY-01	-0.1525	-0.893
cesc_tcga_pan_can_atlas_2018	TCGA-4J-AA1J-01	-0.0177	0.5108
cesc_tcga_pan_can_atlas_2018	TCGA-BI-A0VR-01	-0.0562	0.3052
cesc_tcga_pan_can_atlas_2018	TCGA-BI-A0VS-01	0.597	0.0035
cesc_tcga_pan_can_atlas_2018	TCGA-BI-A20A-01	-0.8751	-0.0155
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A0TN-01	0.7467	0.9173
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BE-01	0.3604	0.3126
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BF-01	-0.2004	0.8835
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BI-01	-0.0023	0.8782
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BJ-01	0.6707	0.6001
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BK-01	-0.0719	-0.737
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BL-01	0.6034	0.8932
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BM-01	0.6835	1.0865
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BN-01	0.27	1.2348
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M5-01	-0.5688	0.0622
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M6-01	-0.9645	-0.7339
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M7-01	0.5713	0.2897
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M8-01	-0.6448	-0.1335
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M9-01	0.7552	0.3346
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1ME-01	-1.6131	-1.9215
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MF-01	-0.7197	-1.2775
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MH-01	0.4409	0.0375
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MI-01	-0.3166	-0.3063
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MJ-01	0.2689	-0.3493
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MK-01	-0.1323	0.5068
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1ML-01	0.9333	0.6717
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MN-01	1.4853	1.2828
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MP-01	-0.3181	0.271
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LS-01	-0.1733	-1.4738
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LT-01	-2.3973	0.5902
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LV-01	0.8652	0.699
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LX-01	-2.2704	-0.7534
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LY-01	-1.6495	-0.3283
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2M1-01	-0.1356	-1.1989
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2M2-01	0.3306	-0.5283
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A3HF-01	0.5594	-0.1851
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CG-01	-0.0432	-0.2903
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CH-01	0.3777	0.9172
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CJ-01	0.9673	1.1584
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CK-01	1.0819	1.4009
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CL-01	0.0339	0.7391
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CM-01	-2.2599	-3.4669
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CO-01	0.087	0.262
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UC-01	1.8888	0.9506
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UE-01	-0.1979	-0.7838
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UH-01	1.5295	0.9054
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UI-01	-1.6917	-0.0908
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7X3-01	0.474	-0.1916
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7X5-01	0.4912	0.2895
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7X8-01	-0.4057	-0.6822
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7XC-01	0.9675	0.5886
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8XH-01	-0.0612	0.6099
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8XI-01	1.297	0.2549
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8XJ-01	0.8164	1.0585
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8XK-01	1.0805	0.7163
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8YQ-01	1.1817	1.1052
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8YR-01	-0.4625	-0.2733
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8YT-01	0.2023	0.4545
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A8ZZ-01	0.2824	0.335
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A907-01	-3.002	0.505
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KH-01	0.1754	-0.8902
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KJ-01	-2.7143	-2.1566
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KK-01	0.9139	-0.3682
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KL-01	0.8115	0.5435
cesc_tcga_pan_can_atlas_2018	TCGA-DG-A2KM-01	-0.6642	0.0153
cesc_tcga_pan_can_atlas_2018	TCGA-DR-A0ZL-01	-0.3364	2.799
cesc_tcga_pan_can_atlas_2018	TCGA-DR-A0ZM-01	0.1924	-0.4519
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A0VK-01	0.0273	1.2277
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A0VL-01	0.8722	0.1265
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A0VM-01	0.7649	-0.3884
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A0VN-01	0.7064	0.9578
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A3LQ-01	-0.2068	-0.2591
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A5RQ-01	-0.3655	0.0654
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A7WF-01	-0.8761	-0.5823
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A7WH-01	1.1717	-0.6131
cesc_tcga_pan_can_atlas_2018	TCGA-DS-A7WI-01	-0.0147	1.6409
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A1QS-01	0.9939	0.6798
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A1QT-01	0.2177	0.1558
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3HQ-01	0.9657	0.9426
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3HR-01	0.401	1.0816
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3HS-01	0.0295	1.3069
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3HT-01	0.6056	0.5249
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3QD-01	-2.4212	-0.4868
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3QE-01	1.3623	0.8479
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A3Y4-01	-1.2715	-1.06
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A410-01	0.2055	-2.7875
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A411-01	-1.1681	-0.3465
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A439-01	-0.2303	-0.6156
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A43B-01	-0.144	-0.6353
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5FO-01	-0.1597	0.466
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5O9-01	-0.9564	-1.2117
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5ZD-01	0.3046	0.378
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5ZE-01	-2.1884	-0.0575
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A5ZF-01	-0.2753	-1.3857
cesc_tcga_pan_can_atlas_2018	TCGA-EA-A6QX-01	0.1962	-0.4725
