STUDY_ID	SAMPLE_ID	FAT1	EGFR
hnsc_tcga_pan_can_atlas_2018	TCGA-4P-AA8J-01	-1.1952	-1.2703
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-4074-01	0.2176	-0.7271
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-4076-01	0.0127	1.8069
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-4078-01	0.2903	0.6322
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5149-01	0.5479	0.9164
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5151-01	1.2652	0.3467
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5152-01	-0.4774	-0.9031
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5153-01	0.2892	0.909
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5555-01	0.9682	0.722
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5556-01	1.1868	0.5319
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5557-01	0.5135	0.3861
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5558-01	0.5373	0.8419
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-5559-01	0.7114	-0.067
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-6868-01	1.3642	0.7436
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-6869-01	-0.1592	-0.7931
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-6870-01	0.4541	-0.3745
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-6871-01	-0.3923	-0.6331
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-6872-01	0.0786	1.2449
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-6873-01	-0.4856	0.3091
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-7269-01	-2.1347	0.0279
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A4IF-01	-1.3886	-0.169
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A4IG-01	-0.7214	-0.4963
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A4IH-01	-0.5388	-0.2022
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A4II-01	-0.2181	1.656
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6D8-01	-2.5066	-2.6634
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DA-01	-1.4226	-0.9115
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DB-01	-1.3332	-1.3566
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DD-01	0.2132	-1.5029
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DE-01	1.108	0.338
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DF-01	NA	NA
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DG-01	0.2891	-0.1059
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DI-01	0.3504	0.4949
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DJ-01	-0.2465	-0.7313
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A6DL-01	-0.0668	-0.2989
hnsc_tcga_pan_can_atlas_2018	TCGA-BA-A8YP-01	-0.5387	-0.8058
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-4217-01	0.9054	0.2082
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-4223-01	0.1869	-0.0495
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-4224-01	-0.3558	-0.4551
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-4225-01	-0.1845	0.3748
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-4227-01	0.481	0.0114
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-4228-01	-0.4858	0.0405
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-7870-01	-1.4236	-1.8551
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-8596-01	0.6446	0.292
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-8601-01	-0.8561	-0.7444
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-A5HU-01	0.7532	2.4444
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-A5HY-01	0.899	1.9047
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-A5HZ-01	-0.8142	-0.5643
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-A6UM-01	-0.7736	-1.5592
hnsc_tcga_pan_can_atlas_2018	TCGA-BB-A6UO-01	0.3366	-0.6911
hnsc_tcga_pan_can_atlas_2018	TCGA-C9-A47Z-01	0.232	0.8653
hnsc_tcga_pan_can_atlas_2018	TCGA-C9-A480-01	-0.481	-0.1008
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4723-01	-1.7988	0.7646
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4725-01	0.6291	0.2935
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4726-01	0.3317	0.1325
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4727-01	0.7046	0.0898
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4728-01	0.372	0.0179
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4729-01	0.3151	0.3586
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4730-01	0.2802	0.6166
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4731-01	0.3617	1.5221
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4733-01	-1.2458	0.1367
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4735-01	0.8161	1.1522
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4736-01	-0.0112	-0.1844
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4737-01	0.8781	0.7106
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4738-01	1.1057	2.7845
hnsc_tcga_pan_can_atlas_2018	TCGA-CN-4739-01	0.6216	0.2423
