STUDY_ID	SAMPLE_ID	FAT1	EGFR
lusc_tcga_pan_can_atlas_2018	TCGA-18-3406-01	-0.7336	-0.3096
lusc_tcga_pan_can_atlas_2018	TCGA-18-3407-01	-0.2406	0.0833
lusc_tcga_pan_can_atlas_2018	TCGA-18-3408-01	0.5824	1.5152
lusc_tcga_pan_can_atlas_2018	TCGA-18-3410-01	-0.7753	-0.4636
lusc_tcga_pan_can_atlas_2018	TCGA-18-3411-01	0.0811	-0.3403
lusc_tcga_pan_can_atlas_2018	TCGA-18-3412-01	-0.157	-0.6222
lusc_tcga_pan_can_atlas_2018	TCGA-18-3414-01	0.0956	-0.2534
lusc_tcga_pan_can_atlas_2018	TCGA-18-3415-01	0.0103	-0.3496
lusc_tcga_pan_can_atlas_2018	TCGA-18-3416-01	0.2002	-0.4002
lusc_tcga_pan_can_atlas_2018	TCGA-18-3417-01	-0.7575	-0.2793
lusc_tcga_pan_can_atlas_2018	TCGA-18-3421-01	-0.4595	-0.5293
lusc_tcga_pan_can_atlas_2018	TCGA-18-4083-01	-0.6208	0.6478
lusc_tcga_pan_can_atlas_2018	TCGA-18-4721-01	0.9628	-0.0165
lusc_tcga_pan_can_atlas_2018	TCGA-18-5592-01	0.4854	3.4478
lusc_tcga_pan_can_atlas_2018	TCGA-21-1071-01	0.5014	-0.3465
lusc_tcga_pan_can_atlas_2018	TCGA-21-1075-01	-0.0355	0.0729
lusc_tcga_pan_can_atlas_2018	TCGA-21-1076-01	-0.3209	-0.3449
lusc_tcga_pan_can_atlas_2018	TCGA-21-1079-01	1.0695	0.6466
lusc_tcga_pan_can_atlas_2018	TCGA-21-1080-01	-0.0512	0.8898
lusc_tcga_pan_can_atlas_2018	TCGA-21-1081-01	0.5612	0.6691
lusc_tcga_pan_can_atlas_2018	TCGA-21-1082-01	-0.7755	-0.945
lusc_tcga_pan_can_atlas_2018	TCGA-21-5782-01	0.242	-0.0003
lusc_tcga_pan_can_atlas_2018	TCGA-21-5783-01	1.33	0.6409
lusc_tcga_pan_can_atlas_2018	TCGA-21-5784-01	0.3629	-0.4043
lusc_tcga_pan_can_atlas_2018	TCGA-21-5786-01	0.2107	-0.2499
lusc_tcga_pan_can_atlas_2018	TCGA-21-5787-01	0.6747	-1.9436
lusc_tcga_pan_can_atlas_2018	TCGA-22-1000-01	0.3275	0.0138
lusc_tcga_pan_can_atlas_2018	TCGA-22-1002-01	0.2338	0.6692
lusc_tcga_pan_can_atlas_2018	TCGA-22-1005-01	-0.1091	-1.3258
lusc_tcga_pan_can_atlas_2018	TCGA-22-1011-01	0.2968	0.6467
lusc_tcga_pan_can_atlas_2018	TCGA-22-1012-01	-1.1519	0.0891
lusc_tcga_pan_can_atlas_2018	TCGA-22-1016-01	0.3358	-0.2036
lusc_tcga_pan_can_atlas_2018	TCGA-22-4591-01	-1.1981	0.2108
lusc_tcga_pan_can_atlas_2018	TCGA-22-4593-01	2.2932	2.7603
lusc_tcga_pan_can_atlas_2018	TCGA-22-4594-01	-0.3933	-1.9305
lusc_tcga_pan_can_atlas_2018	TCGA-22-4595-01	-0.0567	0.3626
lusc_tcga_pan_can_atlas_2018	TCGA-22-4596-01	-0.3881	-0.2514
lusc_tcga_pan_can_atlas_2018	TCGA-22-4599-01	0.4075	0.7629
lusc_tcga_pan_can_atlas_2018	TCGA-22-4601-01	-0.0098	-0.5433
lusc_tcga_pan_can_atlas_2018	TCGA-22-4604-01	0.1459	-0.1896
lusc_tcga_pan_can_atlas_2018	TCGA-22-4605-01	-0.1004	0.048
lusc_tcga_pan_can_atlas_2018	TCGA-22-4607-01	-0.3886	-0.7515
lusc_tcga_pan_can_atlas_2018	TCGA-22-4609-01	0.6865	0.7213
lusc_tcga_pan_can_atlas_2018	TCGA-22-4613-01	-1.2774	-0.2678
lusc_tcga_pan_can_atlas_2018	TCGA-22-5471-01	-0.047	-0.6893
lusc_tcga_pan_can_atlas_2018	TCGA-22-5472-01	-1.3487	0.3924
lusc_tcga_pan_can_atlas_2018	TCGA-22-5473-01	0.2431	1.0401
lusc_tcga_pan_can_atlas_2018	TCGA-22-5474-01	-0.1304	-0.7321
lusc_tcga_pan_can_atlas_2018	TCGA-22-5477-01	1.5951	0.0454
lusc_tcga_pan_can_atlas_2018	TCGA-22-5478-01	1.5139	0.3052
lusc_tcga_pan_can_atlas_2018	TCGA-22-5479-01	-1.1566	-0.341
lusc_tcga_pan_can_atlas_2018	TCGA-22-5480-01	1.4354	0.3453
lusc_tcga_pan_can_atlas_2018	TCGA-22-5481-01	-0.852	-4.0758
lusc_tcga_pan_can_atlas_2018	TCGA-22-5482-01	1.0048	0.4159
lusc_tcga_pan_can_atlas_2018	TCGA-22-5483-01	0.5827	-2.6657
lusc_tcga_pan_can_atlas_2018	TCGA-22-5485-01	-0.1871	-0.1745
lusc_tcga_pan_can_atlas_2018	TCGA-22-5489-01	-0.1689	0.4119
lusc_tcga_pan_can_atlas_2018	TCGA-22-5491-01	-0.9302	-0.1959
lusc_tcga_pan_can_atlas_2018	TCGA-22-5492-01	0.304	0.5213
lusc_tcga_pan_can_atlas_2018	TCGA-22-A5C4-01	-0.2017	0.1611
lusc_tcga_pan_can_atlas_2018	TCGA-33-4532-01	-0.3106	-0.2905
lusc_tcga_pan_can_atlas_2018	TCGA-33-4533-01	-0.2054	-0.6026
lusc_tcga_pan_can_atlas_2018	TCGA-33-4538-01	0.1826	0.0811
lusc_tcga_pan_can_atlas_2018	TCGA-33-4547-01	-2.1721	-0.3377
lusc_tcga_pan_can_atlas_2018	TCGA-33-4566-01	-1.2093	-0.3999
lusc_tcga_pan_can_atlas_2018	TCGA-33-4582-01	0.1359	0.4233
lusc_tcga_pan_can_atlas_2018	TCGA-33-4583-01	-0.3046	-0.8631
lusc_tcga_pan_can_atlas_2018	TCGA-33-4586-01	0.8325	0.1579
lusc_tcga_pan_can_atlas_2018	TCGA-33-4587-01	-0.3351	-0.4014
lusc_tcga_pan_can_atlas_2018	TCGA-33-4589-01	-1.0738	-0.0767
lusc_tcga_pan_can_atlas_2018	TCGA-33-6738-01	-0.4766	-0.5348
lusc_tcga_pan_can_atlas_2018	TCGA-33-A4WN-01	-0.8575	0.1781
lusc_tcga_pan_can_atlas_2018	TCGA-33-A5GW-01	0.8717	0.0042
lusc_tcga_pan_can_atlas_2018	TCGA-33-AAS8-01	0.0324	-0.3852
